education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,major,country,depression_total_score,anxiety_total_score,stress_total_score
4,3,2,1,24,2,7,1,10,2,1,2,Business,MY,30,24,26
3,3,2,2,18,1,10,5,70,2,1,6,Science,MY,23,20,26
1,2,2,1,39,1,1,1,60,2,1,2,,US,27,25,34
2,2,2,1,37,1,7,1,60,1,2,2,,US,51,44,48
1,2,2,1,15,1,4,1,10,2,1,1,,US,38,27,33
3,3,2,2,18,1,1,3,10,2,1,2,computer science,CN,50,48,49
3,3,2,2,22,1,10,1,10,2,1,3,Electrical Electronic engineering,NONE,47,41,47
3,2,2,1,19,1,10,1,10,2,1,3,Film & Media,MY,35,35,37
3,3,2,1,73,1,1,1,60,1,2,4,art,US,24,20,27
3,3,2,2,23,1,10,1,10,1,1,5,Islamic knowledge,MY,20,17,16
3,3,1,2,17,2,10,1,10,2,1,4,art,MY,54,52,55
2,1,1,2,17,1,2,1,60,2,1,1,,FR,28,20,27
3,3,1,2,26,1,8,4,70,1,1,3,Engineering,IN,41,36,41
1,3,2,1,16,2,4,1,60,2,1,3,,AU,51,51,51
4,1,2,2,22,1,10,1,10,2,1,7,Computer Security ,MY,43,44,40
2,3,1,2,20,1,4,1,60,1,1,3,,CZ,21,23,27
4,3,2,2,24,1,10,4,10,2,1,7,IT,MY,22,22,23
3,1,2,2,22,1,10,3,70,2,1,6,Forestry,MY,19,16,22
4,3,2,2,40,1,10,1,10,1,2,5,Sport psychology ,MY,47,50,48
3,3,2,2,20,2,10,1,70,2,1,2,Computer Science ,MY,17,17,23
3,2,2,2,20,1,10,1,10,2,1,4,Science,MY,30,32,39
3,1,2,2,28,1,4,1,10,2,1,4,Food science,MY,31,29,29
3,3,2,2,16,1,10,1,10,2,1,3,Art,MY,37,30,35
3,3,2,2,15,1,4,1,10,2,1,3,Teacher,PH,49,46,49
4,1,2,2,26,1,10,5,70,1,1,10,,MY,20,22,25
4,3,2,2,27,1,10,1,10,1,2,5,Medicine,MY,19,20,21
3,3,2,2,18,1,10,1,10,2,1,4,Engineering ,MY,54,54,55
3,3,1,2,23,1,10,5,10,2,1,4,Law,MY,41,40,44
4,2,1,1,33,1,7,1,60,2,1,4,,CA,47,49,48
3,1,1,2,19,1,10,1,10,2,1,9,Science ,MY,34,36,37
3,2,2,2,21,2,10,4,10,2,1,4,Communication media studies,MY,35,35,38
3,1,2,2,19,1,4,2,10,2,1,4,Medical,MY,55,52,54
2,1,2,2,46,1,7,1,60,1,2,2,,RO,37,25,30
3,1,2,2,27,1,10,5,10,1,2,4,Corporate admin,MY,39,39,31
3,3,2,2,19,1,10,1,10,2,1,3,Mechanical engineering ,MY,18,19,23
3,3,2,1,22,1,7,1,10,1,1,3,English,US,55,54,56
4,1,1,2,27,1,10,5,10,0,2,5,,MY,15,17,15
3,1,1,1,18,1,1,1,60,1,1,1,Music,US,42,37,30
4,3,2,2,31,1,2,2,60,2,1,1,,DE,31,31,25
3,3,2,2,29,1,10,1,70,1,1,4,Education,MY,29,22,25
4,2,2,2,23,1,10,1,10,1,1,5,Statistics,MY,27,24,26
3,1,2,2,20,1,10,1,10,2,1,4,English,MY,47,40,39
3,2,1,1,24,1,2,1,10,2,1,2,Civil Engineering,SG,32,25,32
3,2,2,2,24,1,1,5,60,2,1,2,Pharmacy,AL,24,22,29
3,1,2,1,39,1,4,1,60,1,2,4,Teaching,AU,25,25,21
1,3,1,1,14,2,7,1,70,2,1,5,,US,33,29,42
3,2,2,2,19,1,10,1,10,1,1,1,Chemical Engineering,ID,31,38,35
3,3,2,2,15,1,10,5,10,2,1,3,Art,MY,39,35,36
2,3,1,1,17,1,2,1,60,2,1,3,,US,14,14,14
3,3,2,1,20,1,10,1,10,2,1,6,science ,MY,48,45,50
3,1,2,2,21,1,6,1,70,2,1,4,Science,MY,29,32,30
3,2,2,2,24,1,10,4,10,2,1,7,graphic,MY,32,27,34
4,3,2,2,30,1,10,1,70,1,1,4,English,MY,48,49,47
4,1,2,1,40,1,7,1,60,1,2,1,Psychology ,US,18,19,20
3,2,2,1,23,1,2,1,10,1,1,2,microbiology,US,43,44,43
3,1,2,2,23,1,10,5,10,1,1,3,Business,MY,38,34,36
3,3,2,2,21,1,10,1,10,1,1,3,Psychology,ID,34,34,34
3,1,1,2,19,1,10,1,10,2,1,2,Computer Science,MY,34,37,37
1,3,2,2,14,1,3,1,10,2,1,1,,NONE,41,34,43
3,2,2,2,26,1,10,1,10,2,1,2,Chemistry,MY,22,18,22
3,2,2,1,29,1,6,1,60,1,2,5,Visual Arts,US,20,20,22
4,1,2,2,20,1,10,5,10,2,1,2,CULINARY AND ARTS ,MY,51,53,52
3,3,2,2,21,1,10,2,10,2,1,3,ART,MY,30,29,32
2,2,2,2,16,1,2,2,60,2,1,0,,NO,47,43,41
3,3,1,2,21,1,2,1,60,1,1,2,IT,CZ,37,42,35
4,1,2,1,25,1,10,2,10,1,2,10,Economic and banking,MY,29,27,26
1,3,1,1,16,1,12,5,70,2,1,3,,US,49,52,51
3,3,2,1,16,1,10,5,10,2,3,4,culinary,MY,41,35,37
3,3,1,1,24,1,10,1,10,2,1,4,Science,MY,47,45,48
3,3,2,2,24,1,10,5,10,1,1,7,accounting,MY,37,37,37
3,3,2,2,18,1,10,1,10,2,1,3,Sciences,MY,49,51,54
3,2,1,2,19,1,10,1,10,2,1,3,Computer Science,MY,34,26,29
3,3,2,2,22,2,10,1,70,2,1,4,Landscape architecture,MY,26,26,28
1,2,2,2,15,1,4,5,60,2,1,2,,GB,44,46,50
3,1,2,1,23,1,7,1,60,2,1,2,Elementary Education,US,31,26,25
2,3,2,1,25,1,4,1,30,1,1,1,,CA,22,20,21
3,2,2,2,23,1,10,1,10,1,1,4,Psychology ,MY,42,49,48
3,1,2,1,23,1,10,4,10,1,1,5,Accountancy,MY,43,39,41
3,3,2,2,22,1,10,5,10,2,1,5,Business and Management,MY,37,38,37
4,3,2,2,26,1,10,5,10,1,1,5,Administration ,MY,31,37,31
3,2,1,2,28,1,10,1,10,1,1,4,Electrical engineering,MY,15,17,15
3,1,1,2,21,3,12,1,20,1,1,0,Buisness,FR,14,17,14
3,3,2,2,22,1,4,2,70,1,1,3,,PH,41,36,43
2,3,1,2,21,1,1,1,60,2,1,1,,RO,41,48,42
2,2,2,1,33,1,1,1,60,2,1,2,,US,26,24,24
3,1,2,2,20,1,10,5,10,2,1,3,insurance,MY,36,36,37
3,2,2,2,23,1,10,5,10,1,1,3,physicaltherapy,ID,36,28,26
2,2,2,1,17,2,1,2,60,2,1,3,,US,46,44,45
3,2,1,1,23,1,10,2,10,2,1,5,Mass Communication ,MY,30,26,26
3,1,2,2,32,1,4,3,70,1,3,1,human resources,PH,25,31,25
4,3,2,2,26,1,8,1,10,1,2,0,Biotechnology ,NONE,22,18,20
2,3,2,2,31,1,10,1,20,2,2,6,,NL,15,15,15
3,3,2,2,20,1,10,1,10,2,1,2,Physiotherapy,MY,42,38,39
3,4,2,2,21,1,10,5,70,2,1,4,Business management,MY,48,50,45
2,3,2,1,15,1,4,1,70,2,1,0,,GB,39,37,37
4,2,2,2,27,1,10,5,10,1,1,4,Engineering & education,MY,36,37,34
1,3,2,1,15,1,6,1,30,0,1,1,,GB,36,39,33
3,2,2,2,25,1,10,1,10,1,1,3,social science,MY,17,17,17
3,2,1,2,21,1,1,1,60,1,1,2,German (native language),DE,39,32,38
3,1,2,2,18,2,10,5,10,2,1,3,English,MY,42,42,38
3,1,2,2,21,1,10,2,10,2,1,3,Human resources,MY,31,34,31
3,3,2,2,20,2,10,4,10,2,1,0,economic,MY,43,41,47
1,4,2,1,16,2,2,2,60,2,1,5,,GB,37,32,38
1,2,1,1,15,1,9,1,60,2,1,3,,US,39,36,38
3,2,2,2,21,1,10,1,10,2,1,7,,MY,46,46,41
2,1,2,2,16,1,10,5,10,2,1,8,,MY,46,49,46
3,2,2,2,19,1,10,1,10,2,1,3,Law,MY,30,27,30
3,2,2,2,25,1,10,4,10,1,1,3,Nursing,MY,22,16,17
4,2,2,2,25,1,10,1,10,2,1,4,Communication,MY,53,52,51
4,3,2,2,35,1,1,4,70,2,2,1,Physics ,JP,27,23,26
4,3,2,2,30,1,7,1,60,2,2,1,"Arts, Sociology",RO,26,22,24
3,2,1,2,21,1,10,1,10,2,1,4,Mechanical Engineering,US,27,22,18
3,3,2,1,40,1,2,1,60,2,1,2,Medical management,US,40,43,38
4,3,2,2,29,2,10,1,10,1,3,6,,MY,30,30,29
3,3,2,2,16,1,10,1,10,2,1,4,Psychology ,PK,27,29,28
2,2,1,1,16,1,7,2,70,2,1,2,,US,41,39,39
3,2,2,1,22,1,7,2,60,1,1,3,animal science,CA,40,37,38
